2025-10-19 09:27:45 | INFO  | com.zaxxer.hikari.pool.HikariPool | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1a43a88e
2025-10-19 09:27:45 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Start completed.
2025-10-19 09:27:52 | INFO  | o.h.e.t.j.p.i.JtaPlatformInitiator | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-10-19 09:27:56 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-10-19 09:27:59 | DEBUG | c.aerotickets.security.JwtAuthFilter | Filter 'jwtAuthFilter' configured for use
2025-10-19 09:28:00 | INFO  | o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer | Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-10-19 09:29:10 | INFO  | o.h.validator.internal.util.Version | HV000001: Hibernate Validator 8.0.1.Final
2025-10-19 09:29:11 | INFO  | com.aerotickets.App | Starting App using Java 21.0.8 with PID 6500 (C:\Users\Familia\Desktop\AeroticketsProject\backend\target\classes started by Familia in C:\Users\Familia\Desktop\AeroticketsProject\backend)
2025-10-19 09:29:11 | DEBUG | com.aerotickets.App | Running with Spring Boot v3.3.2, Spring v6.1.11
2025-10-19 09:29:11 | INFO  | com.aerotickets.App | No active profile set, falling back to 1 default profile: "default"
2025-10-19 09:29:15 | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-19 09:29:15 | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 183 ms. Found 3 JPA repository interfaces.
2025-10-19 09:29:17 | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 8080 (http)
2025-10-19 09:29:17 | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2025-10-19 09:29:17 | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
2025-10-19 09:29:17 | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-10-19 09:29:17 | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2025-10-19 09:29:17 | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 5937 ms
2025-10-19 09:29:17 | INFO  | o.h.jpa.internal.util.LogHelper | HHH000204: Processing PersistenceUnitInfo [name: default]
2025-10-19 09:29:18 | INFO  | org.hibernate.Version | HHH000412: Hibernate ORM core version 6.5.2.Final
2025-10-19 09:29:18 | INFO  | o.h.c.i.RegionFactoryInitiator | HHH000026: Second-level cache disabled
2025-10-19 09:29:19 | INFO  | o.s.o.j.p.SpringPersistenceUnitInfo | No LoadTimeWeaver setup: ignoring JPA class transformer
2025-10-19 09:29:19 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Starting...
2025-10-19 09:29:20 | INFO  | com.zaxxer.hikari.pool.HikariPool | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@709d6de5
2025-10-19 09:29:20 | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Start completed.
2025-10-19 09:29:26 | INFO  | o.h.e.t.j.p.i.JtaPlatformInitiator | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-10-19 09:29:32 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-10-19 09:29:33 | DEBUG | c.aerotickets.security.JwtAuthFilter | Filter 'jwtAuthFilter' configured for use
2025-10-19 09:29:33 | INFO  | o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer | Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-10-19 09:29:38 | INFO  | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2025-10-19 09:29:38 | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2025-10-19 09:29:38 | INFO  | com.aerotickets.App | Started App in 34.998 seconds (process running for 38.91)
2025-10-19 09:30:26 | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-19 09:30:26 | INFO  | o.s.web.servlet.DispatcherServlet | Initializing Servlet 'dispatcherServlet'
2025-10-19 09:30:26 | INFO  | o.s.web.servlet.DispatcherServlet | Completed initialization in 2 ms
2025-10-19 09:30:29 | INFO  | c.a.config.RequestLoggingFilter | ➡️ POST /api/auth/login completado en 2903 ms
2025-10-19 09:30:29 | ERROR | c.a.config.PerformanceLoggingFilter | [0;31m➡️ POST /api/auth/login - 500 (2911 ms)[0m
2025-10-19 09:30:57 | INFO  | c.a.config.RequestLoggingFilter | ➡️ POST /api/auth/register completado en 257 ms
2025-10-19 09:30:57 | WARN  | c.a.config.PerformanceLoggingFilter | [0;33m➡️ POST /api/auth/register - 422 (267 ms)[0m
